Repository,Forks,additions,Deletions,Total,Messages
parser,188,75,2,77,+ ruby31.y: parse anonymous block argument. (#833)
parser,188,128,21,149,+ ruby31.y: parse forward argument without parentheses (#832)
parser,188,60,2,62,fix escaping of ctrl- and meta-chars in regexes (#831)
parser,188,2,2,4,Update changelog.
meta-smalltalk,1,1,1,2,smalltalk-native: Require readline-native for the build as well
meta-smalltalk,1,2,2,4,"smalltalk: Require zip/unzip from the host

 checking for zip... no
| checking for timeout... env
| configure: error: Please install InfoZIP to use GNU Smalltalk."
meta-smalltalk,1,1,1,2,lightning: Upgrade with store fixes and closer to 2.0.6
meta-smalltalk,1,1,1,2,lightning: Build the latest head on the way to 2.0.6
meta-smalltalk,1,1,1,2,lightning: Build a newer version with ARMv5t fixes
meta-smalltalk,1,1,1,2,"lightning: Upgrade with LDR* fixes on ARMv5te or later ISAs

The code mixed the source/dest registers and violated the
ISA of needing an even register as the start. Some other
fixes as well."
meta-smalltalk,1,1,1,2,"smalltalk: Fix the library name, it is sqlite3

Fixes:
ERROR: Nothing PROVIDES 'libsqlite3' (but /home/builder/jenkins/workspace/Yocto-Dora/label/OE/meta-smalltalk/recipes-smalltalk/smalltalk/smalltalk_3.2.91.1.bb DEPENDS on or otherwise requires it). Close matches:
  sqlite3"
meta-smalltalk,1,1,0,1,"lightning: Build without binutils dependency

GNU lightning can link to binutils to benefit from the built-in
disassembler. We do not want this dependency right now and just
disable it."
meta-smalltalk,1,2,0,2,lightning: Allow it to be built for the native system
meta-smalltalk,1,1,1,2,"smalltalk: We are using sqlite3, depend on it"
meta-smalltalk,1,23,0,23,"lightning: Add GNU lightning 2.0.x needed for GNU Smalltalk

GNU lightning is a macro-assembler/jit that is used by GNU
Smalltalk. It supports x86 and ARM backends."
meta-smalltalk,1,14,14,28,"misc: poky/LICENSE has changed.. reference a hopefully more stable file

Only reference the COPYING.MIT as it is unlikely to change in
the next upgrade."
meta-smalltalk,1,2,2,4,osmo-st-sip: This requires digest for authentication handling
meta-smalltalk,1,1,1,2,"smalltalk: Make it compile with srcdir!=builddir

Don't use S but use the build directory to patch the generated
makefile."
meta-smalltalk,1,2,1,3,classes: Allow to specify another package file
meta-smalltalk,1,4,4,8,osmocom: A round of upgrades of Osmocom components
meta-smalltalk,1,3,3,6,"osmocom: Update the GSM, MGCP and SIP repositories to the latest version"
meta-smalltalk,1,7,5,12,smalltalk: Build something more recent with the netlink package
meta-smalltalk,1,4,4,8,recipes-osmo: Upgrade various components to the latest master version
meta-smalltalk,1,5,3,8,smalltalk: Package smalltalk-xml separately
meta-smalltalk,1,3,1,4,"libsigsegv: Use a shared library for libsigsegv

This helps with the -fPIC situation on AMD64. Simply build it as
a shared library and the problems go away."
meta-smalltalk,1,9,9,18,osmocom: Upgrade the GNU Smalltalk Osmocom sub projects to the latest version
meta-smalltalk,1,5,2,7,"smalltalk: Build a native libsigsegv and depend on zip-native

These two dependencies are required for building the native package
of GNU Smalltalk on a clean system."
meta-smalltalk,1,4,4,8,misc: Use RDEPENDS_${PN} instead of RDEPENDS to fix parsing issues
meta-smalltalk,1,1,1,2,smalltalk_package: Append to the RDEPENDS instead of overwriting them
meta-smalltalk,1,3,3,6,smalltalk: Depend on libffi/libffi-native as well
meta-smalltalk,1,2,2,4,smalltalk: GNU Smalltalk requires libtool for the DLD feature
meta-smalltalk,1,49,0,49,smalltalk: Add an alpha version and provide a specific no-doc patch
meta-smalltalk,1,2,2,4,smalltalk: Depend on the external libsigsegv
meta-smalltalk,1,13,0,13,libsigsegv: Add the latest libsigsegv 2.10 release
wireless-TCP-caching,0,178,0,178,set up working nodes
wireless-TCP-caching,0,1,0,1,Merge branch 'master' of https://github.com/tonyyan518/wireless-TCP-caching
wireless-TCP-caching,0,4,0,4,basic cache
wireless-TCP-caching,0,1,0,1,second commit
wireless-TCP-caching,0,0,0,0,first commit
FSCrypto,0,0,0,0,"Moving things over to a correctly spelled repo, and changing from com.fscrypto to org.fscrypto"
FSCrypto,0,336,37,373,"Moving things over to a correctly spelled repo, and changing from com.fscrypto to org.fscrypto"
FSCrypto,0,27,362,389,"Moving things over to a correctly spelled repo, and changing from com.fscrypto to org.fscrypto"
FSCrypto,0,53,0,53,Adding basic django style password hashing.
FSCrypto,0,120,0,120,"Adding in resources used for testing.

Signed-off-by: John Larison <johnhlarison@gmail.com>"
FSCrypto,0,5,25,30,"*  Removed @Overide annotations to make code Java 1.5 compliant
*  Changed build.xml to compile against Java 1.5
*  Removed -Werror flag from javac until I can figure out how to make build script portable and compliant with targeting 1.5

Signed-off-by: John Larison <johnhlarison@gmail.com>"
FSCrypto,0,784,281,1065,"Major commit, pushing the project to 0.1.ALPHA status.  Mostly functionally complete, though some convenience methods should still be added.

Signed-off-by: John Larison <johnhlarison@gmail.com>"
FSCrypto,0,649,0,649,"Adding note to README and first check-in of source.  First pass on symmetric and PKI cipher classes and unit tests are done.

Signed-off-by: John Larison <johnhlarison@gmail.com>"
FSCrypto,0,0,0,0,first commit
ncbo_annotator,12,33,2,35,add config file for testing
ncbo_annotator,12,1,1,2,remove wait-for-it
ncbo_annotator,12,101,25,126,add docker support for unit testing
ncbo_annotator,12,3,3,6,Update Gemfile.lock
ncbo_annotator,12,6,6,12,Merge staging for release
ncbo_annotator,12,5,5,10,Update Gemfile.lock
ncbo_annotator,12,6,6,12,Gemfile.lock update
ncbo_annotator,12,3,3,6,Merge staging for release
ncbo_annotator,12,3,3,6,Update Gemfile.lock
ncbo_annotator,12,1,3,4,Fix bundle install duplicate entry warnings
ncbo_annotator,12,0,1,1,"Fix ""same gem twice"" parsing error"
ncbo_annotator,12,38,26,64,Merge staging for release
ncbo_annotator,12,25,3,28,Pin faraday gem to 1.9
ncbo_annotator,12,173,0,173,"Restore Gemfile.lock

Appears to have been accidentally deleted in the commit prior"
ncbo_annotator,12,1,1,2,Gemfile.lock update
ncbo_annotator,12,13,13,26,Gemfile.lock update
ncbo_annotator,12,1,189,190,pinned oj to v2.X for all projects due to an error in latest oj 3.13.1
ncbo_annotator,12,8,6,14,Gemfile.lock update
ncbo_annotator,12,2,2,4,Gemfile.lock
ncbo_annotator,12,1,1,2,Gemfile.lock
ncbo_annotator,12,11,11,22,Remove ffi gem version pin
ncbo_annotator,12,4,4,8,Gemfile.lock update
ncbo_annotator,12,20,12,32,Merge staging for release
ncbo_annotator,12,10,6,16,Gemfile.lock update
ncbo_annotator,12,12,8,20,Gemfile.lock update
ncbo_annotator,12,4,4,8,Gemfile.lock update
ncbo_annotator,12,33,18,51,Merge staging for release
ncbo_annotator,12,1,1,2,Gemfile.lock update
ncbo_annotator,12,3,3,6,Gemfile.lock update
ncbo_annotator,12,28,13,41,implemented #40 - Add incremental logging when the dictionary is being created
Catalan.jl,5,110,28,138,"Merge pull request #11 from andrioni/new_branch

Fix the master branch"
Catalan.jl,5,3,1,4,"Officially deprecate Catalan

I'm also setting 0.4 as the latest julia version Catalan is available,
however it might not as expected on it."
Catalan.jl,5,5,4,9,"Require julia 0.2-, fix up everything"
Catalan.jl,5,101,24,125,Adds producers for combinations and noncrossing partitions
Catalan.jl,5,2,0,2,Update README.md
Catalan.jl,5,1,1,2,Add a more recognizable test runner
Catalan.jl,5,11,11,22,Update the library to work with the recent changes to BigInt
Catalan.jl,5,1,1,2,Update README.md with the new name of the function
Catalan.jl,5,18,15,33,Rename types to use CamelCase
Catalan.jl,5,15,6,21,"Rename and add tests for the partitions function

As there is already an integer_partitions function in Base which
does basically the same thing, it is better to have this as an
extra method of it."
Catalan.jl,5,1,2,3,Update README for partitions
Catalan.jl,5,21,1,22,Add partitions function
Catalan.jl,5,188,0,188,"Merge pull request #6 from jiahao/young

Provides some functions for working with Young diagrams."
Catalan.jl,5,188,0,188,"Provides some functions for working with Young diagrams.

- partitionsequence: computes partition sequence for an integer partition
- a \ b creates the skew diagram for partitions (tuples) a, b
- isrimhook: checks if skew diagram is a rim hook
- leglength: computes leg length of rim hook
- character: computes character of irrep of Sn"
Catalan.jl,5,1,1,2,Use relative import to import Base.Test
Catalan.jl,5,3,2,5,Improve the documentation a bit
Catalan.jl,5,51,2,53,"Close #2, reorganize the tests"
Catalan.jl,5,12,0,12,"Merge pull request #1 from jiahao/lassalle

Provides Lassalle's sequence"
Catalan.jl,5,12,0,12,Provides Lassalle's sequence
Catalan.jl,5,19,20,39,Update to use the Polynomial package
Catalan.jl,5,2,2,4,Fix multinomial and stirlings1 test
Catalan.jl,5,23,0,23,Add LICENSE.md
Catalan.jl,5,18,0,18,"""Add a test suite for Catalan"""
Catalan.jl,5,61,52,113,Reorder file for clarity
Catalan.jl,5,1,1,2,Update README.md
Catalan.jl,5,78,123,201,Add six new functions
Catalan.jl,5,0,0,0,Add package directory structure
Catalan.jl,5,15,12,27,Refactorings and a description of the implemented functions
Catalan.jl,5,37,3,40,"Modularize, add multinomial, hyperfactorial functions"
Catalan.jl,5,135,0,135,"Add first implementation of fibonacci, catalan and stirling1"
KataEight,0,4,0,4,Add travis-ci.
KataEight,0,59,30,89,Rust 1.9.0
KataEight,0,2,0,2,Comments...
KataEight,0,12,1,13,Add a simpler rust test.
KataEight,0,82,31,113,Make the Rust code OO style and add timings.
KataEight,0,109591,9,109600,Fix java version to load assets and report nanoseconds.
KataEight,0,0,0,0,Correct java impl filename.
KataEight,0,58,0,58,Add Rust implementation.
KataEight,0,67,0,67,Add Java implementation.
KataEight,0,0,0,0,Move Ruby impl to ruby dir.
KataEight,0,1,1,2,Adding chomp to loader
KataEight,0,6,2,8,Fixing runner
KataEight,0,21,8,29,Final algorithm?
KataEight,0,6,2,8,Load tests.
KataEight,0,24,26,50,Refactoring into words.rb
KataEight,0,7,5,12,Renaming class
KataEight,0,6,8,14,Merge branch 'master' of https://github.com/glennpratt/KataEight
KataEight,0,1,6,7,added dictionary load code to 8.rb
KataEight,0,6,8,14,Making public
KataEight,0,47,3,50,Merge branch 'master' of https://github.com/glennpratt/KataEight
KataEight,0,33,0,33,Implementation first pass
KataEight,0,12,0,12,completed code for Dictionary file loader
KataEight,0,14,3,17,Dictionary!!!
KataEight,0,8,0,8,The best test in the world.
KataEight,0,109582,0,109582,Initial commit
LAB-Mo-Tester,11,1,1,2,readme updates
LAB-Mo-Tester,11,3,3,6,readme updates
LAB-Mo-Tester,11,8,3,11,readme updates
LAB-Mo-Tester,11,690,2,692,Updates with Lightning Process Builder and Lightning Connect
LAB-Mo-Tester,11,19,6,25,readme tweaks
LAB-Mo-Tester,11,695,81,776,Lightning Component Update
LAB-Mo-Tester,11,7,0,7,Update README.md
LAB-Mo-Tester,11,12,0,12,Update README.md
LAB-Mo-Tester,11,18,22,40,updated mo tester 2 to have a relationship to account instead of Mo Tester 1
LAB-Mo-Tester,11,24,0,24,Merge branch 'master' of github.com:ReidCarlberg/LAB-Mo-Tester
LAB-Mo-Tester,11,18,0,18,new doc for app image
LAB-Mo-Tester,11,1,1,2,Updated readme.MD with a new install package.
LAB-Mo-Tester,11,7,6,13,"Merge pull request #1 from mbotos/patch-1

Added lots of link lovin'"
LAB-Mo-Tester,11,7,6,13,Added lots of link lovin'
LAB-Mo-Tester,11,3,0,3,Update README.md
LAB-Mo-Tester,11,20,0,20,Create README.md
LAB-Mo-Tester,11,3627,0,3627,initial
tf-mapper,0,8,5,13,"- Remove blank line
- Lint spacing
- Align aliases for nicer formatting"
tf-mapper,0,1,0,1,Pass roomCaptured event to node server
tf-mapper,0,1,0,1,Add node-server require
tf-mapper,0,35,32,67,"- Formatting/lint cleanup
- Add some comments/documentation
- Refactor /map_updateMapView
- Actually use map_query"
tf-mapper,0,2,2,4,- Lint: Clean variable references
tf-mapper,0,0,8,8,Remove unused HValLookup from map-database
tf-mapper,0,33,4,37,Pull profile and mapPath configuration to .env file (for tests)
tf-mapper,0,1025,206,1231,Merge branch 'feature/typescript'
tf-mapper,0,35,7,42,"- Revert map pathing to Dijkstra as we don't have a good heuristic function as yet.
- Fix test expectations for non-trivial pathing.
- Add optional profiling to map search tests"
tf-mapper,0,62,67,129,"- add edge data to IMapGraphEdge
- Remove some commented out console.logs
- convert some var calls to let/const"
tf-mapper,0,879,83,962,"Convert to TypeScript
- Upgrade to async-astar 1.0.3
- Update jasmine  (jasmine-ts) dependencies
- Move dbFilename to constructor"
tf-mapper,0,4,5,9,Uncomment tests
tf-mapper,0,27,172,199,"npm update
- sqlite 3.1.13
- jasmine 2.99.0"
tf-mapper,0,76,16,92,- Fix map update routines and make map follow guesses when unsure of location.
tf-mapper,0,984,0,984,Add package-lock.json
tf-mapper,0,252,42,294,"Merge tag 'v1.0.5'

1.0.5"
tf-mapper,0,1,1,2,1.0.5
tf-mapper,0,2,1,3,Add tf-util@1.0.1 dependency
tf-mapper,0,1,1,2,1.0.4
tf-mapper,0,129,6,135,Add ability to update room with best guess helper
tf-mapper,0,1,1,2,1.0.3
tf-mapper,0,22,14,36,"Refactor map_path_repathIfNecessary, add go_and alias."
tf-mapper,0,1,1,2,1.0.2
tf-mapper,0,0,1,1,Remove as yet unused npm sqlite3 dependency.
tf-mapper,0,3,0,3,Add “and then” info to pathing target indicator.
tf-mapper,0,1,1,2,1.0.1
tf-mapper,0,97,21,118,Update dependency verions
tf-mapper,0,1,1,2,1.0.0
tf-mapper,0,89,1,90,Update tf pathing to handle path complete events and map command queues.
tf-mapper,0,145,2,147,"[WiP] Implement skeleton implementation of MapSearch and MapDatabase.

- MapDatabase does not yet provide real data."
BPlusTrees,0,42,0,42,Stupid python script for counting size of theorems and lemmas.
BPlusTrees,0,1,1,2,Remove Todo package.
BPlusTrees,0,2,2,4,No longer at revision f27cb7d9c52aeb1f4cdd6482a7be215ff7b58c1c
BPlusTrees,0,28,57,85,Updated lemma sizes
BPlusTrees,0,1,1,2,Merge branch 'master' of github.com:nicolaidahl/BPlusTrees
BPlusTrees,0,0,67,67,deleted more in preserves proof
BPlusTrees,0,636,793,1429,Merge branch 'master' of github.com:nicolaidahl/BPlusTrees
BPlusTrees,0,1,1,2,Added admission :(
BPlusTrees,0,489,158,647,Merge branch 'master' of github.com:nicolaidahl/BPlusTrees
BPlusTrees,0,2,656,658,Removed a lot of old junk lemmas.
BPlusTrees,0,289,1,290,Merge branch 'master' of github.com:nicolaidahl/BPlusTrees
BPlusTrees,0,1,65,66,deleted admitted lemmas
BPlusTrees,0,13,12,25,Removed one more admit.
BPlusTrees,0,289,1,290,"Added list of lemmas, and reference to this in Proof section."
BPlusTrees,0,340,32,372,Almost finished the insert'_overflow_impl_greater_key proof.
BPlusTrees,0,7,7,14,Fixed a number of small errors.
BPlusTrees,0,6,6,12,Corrected InsertSearchWorks and friends.
BPlusTrees,0,3,3,6,Corrected 'Report' to 'Paper'.
BPlusTrees,0,3,3,6,Rewrote the abstract with christian
BPlusTrees,0,1,1,2,Corrected Evaluation.
BPlusTrees,0,8,8,16,Corrected Conclusion.
BPlusTrees,0,27,22,49,Merge branch 'master' of github.com:nicolaidahl/BPlusTrees
BPlusTrees,0,4,4,8,Added related work
BPlusTrees,0,10,6,16,Fixed formatting on some Coq examples.
BPlusTrees,0,17,16,33,Corrected Proof Realization.
BPlusTrees,0,34,45,79,Corrected the problem analysis section
BPlusTrees,0,7,8,15,Corrected Background.
BPlusTrees,0,4,4,8,Corrected Introduction.
BPlusTrees,0,1,1,2,Corrrected abstract.
BPlusTrees,0,7,8,15,Corrected evaluation.
TrackzFunkyIdeaz,0,1,1,2,Password maksing
TrackzFunkyIdeaz,0,4,0,4,Merge https://github.com/mfpaniagua/TrackzFunkyIdeaz
TrackzFunkyIdeaz,0,627,0,627,Latest Updates to dev
TrackzFunkyIdeaz,0,4,0,4,Initial commit
SASP-Project,0,15,1,16,Merge branch 'master' of github.com:tdidriksen/SASP-Project
SASP-Project,0,2,2,4,Fixed odd latex alignments.
SASP-Project,0,6,17,23,Final commit before hand-in 22/5/2013.
SASP-Project,0,15,1,16,Added README
SASP-Project,0,47,270,317,Cleaned up ILImp and created Makefile
SASP-Project,0,46,2,48,Added justifications for admits.
SASP-Project,0,49,18,67,ILImp
SASP-Project,0,187,168,355,Final report corrections.
SASP-Project,0,475,73,548,Added ILImp
SASP-Project,0,15,31,46,"Added abstract, conclusion and outline."
SASP-Project,0,61,7,68,Merge branch 'master' of github.com:tdidriksen/SASP-Project
SASP-Project,0,55,1,56,Added example section.
SASP-Project,0,61,7,68,First draft for related work.
SASP-Project,0,7,12,19,Frame rule and rules of consequence section corrections.
SASP-Project,0,13,50,63,Revised Hoare rules part 2 section.
SASP-Project,0,31,33,64,Separation Logic changes.
SASP-Project,0,21,20,41,Revised separation logic section.
SASP-Project,0,23,16,39,Work on hoare logic section.
SASP-Project,0,11,3,14,Merge branch 'master' of github.com:tdidriksen/SASP-Project
SASP-Project,0,11,3,14,Added Hoare rules part 1.
SASP-Project,0,3,1,4,Merge branch 'master' of github.com:tdidriksen/SASP-Project
SASP-Project,0,3,1,4,Added introduction to Section 3.
SASP-Project,0,13,14,27,Revise of Imp section
SASP-Project,0,26,6,32,Revised Program State.
SASP-Project,0,62,45,107,Revised semantics section.
SASP-Project,0,4,4,8,Report stuff.
SASP-Project,0,7,6,13,Program State work
SASP-Project,0,3,3,6,Finished grammar section.
SASP-Project,0,2,2,4,Revised Coq section.
SASP-Project,0,227,11,238,Added axioms for logics.
old.blog,50,2,2,4,"Merge pull request #65 from akshaykumarkodali/patch-2

Update 2016-08-08-Draft-Payment-System-in-Erlang.org to fix typos"
old.blog,50,2,2,4,"Update 2016-08-08-Draft-Payment-System-in-Erlang.org to fix typos

Thanks for the feedback. I see you have corrected most of the typos. I fixed another two of them for you. :)"
old.blog,50,6,6,12,typos
old.blog,50,6,6,12,reformulated
old.blog,50,482,0,482,new blog entry
old.blog,50,258,31,289,feed.xml fixed I hope
old.blog,50,178,0,178,George and the EU
old.blog,50,314,0,314,new blog
old.blog,50,0,6682,6682,cleaning up
old.blog,50,3,15627,15630,typo
old.blog,50,19278,26,19304,Bye bye Jekyll
old.blog,50,2,1,3,chenged index to reflect reality
old.blog,50,1,9,10,modifed index to point to old blog
old.blog,50,9,4,13,testing 123
old.blog,50,15624,1,15625,stuff
old.blog,50,131,0,131,new post
old.blog,50,1,1,2,updated markdown processor
old.blog,50,1,1,2,typo
old.blog,50,1,1,2,typo
old.blog,50,5,5,10,fixed typos
old.blog,50,110,10,120,new blog article
old.blog,50,46,0,46,addition to article
old.blog,50,130,0,130,new blog
old.blog,50,2,3,5,typo
old.blog,50,830,1,831,4 new posts
old.blog,50,8,3,11,edits
old.blog,50,20,0,20,updates
old.blog,50,42,0,42,new blog
old.blog,50,10,17,27,"Merge pull request #50 from chriseidhof/patch-1

Update PlaySoftMidi.swift"
old.blog,50,10,17,27,Update PlaySoftMidi.swift
SpreadSheetTableView,2,1,1,2,Added link for example
SpreadSheetTableView,2,3,1,4,Updated readme
SpreadSheetTableView,2,1,1,2,Updated readme
SpreadSheetTableView,2,23,0,23,Added licence
SpreadSheetTableView,2,40,0,40,Added readme
SpreadSheetTableView,2,195,0,195,initial version
shortcapri,1,7,1,8,code for commenting out in exercise 1
shortcapri,1,17,158,175,"further simplified didactic model

- no simulation
- without TRQ functions"
shortcapri,1,349,0,349,"A very simple (bare) model to show the essential structure of the market
model

TRQs can be added optionally by setting the appropriate setglobal in the
file to ON"
shortcapri,1,5,5,10,some cosmetics
shortcapri,1,178,4,182,missing supply elasticity trimming added
shortcapri,1,51,38,89,get the one commodity model running
shortcapri,1,6,1,7,Update README.md
shortcapri,1,82,0,82,reporting for the EAAE presentation
shortcapri,1,90,0,90,3d plotting function for the Armington SA
shortcapri,1,9,5,14,"reporting part corrected"""
shortcapri,1,301,183,484,updated SA files
shortcapri,1,35,20,55,revised trade creation and diversion measures
shortcapri,1,4,3,7,low cost producer third country is now optional
shortcapri,1,390,227,617,money metric --- welfare calculations
shortcapri,1,41,43,84,get the Rent SA running
shortcapri,1,29,28,57,get the one commodity model running
shortcapri,1,2803,0,2803,new scenarios and SA files
shortcapri,1,850,0,850,one commodity model
shortcapri,1,23,3,26,modified baseline assumptions
shortcapri,1,0,382,382,structural changes in the repo
shortcapri,1,1,0,1,extended gitignore
shortcapri,1,2,499,501,define libraries in the header
shortcapri,1,115,0,115,reporting script for trade diversion and creation effects
shortcapri,1,4,3,7,corrected trade creation measure
shortcapri,1,27,9,36,SA combined on Armingon 1 and 2 elasticities
shortcapri,1,128,20,148,first working version of an SA on Armington2 elasticities
shortcapri,1,8,0,8,gitignore extended
shortcapri,1,680,213,893,more flexible structure that enables SA
shortcapri,1,498,16,514,clean up
shortcapri,1,85,0,85,new version of the simplest market model version
chewy-cmake-rep,0,738,0,738,Add `TeamCity.cmake` which is deperecates `TeamCityInteraction.cmake`
chewy-cmake-rep,0,145,0,145,Add find Python package(s) module
chewy-cmake-rep,0,65,0,65,Split SASS module into finder and a function (add forgotten file)
chewy-cmake-rep,0,71,56,127,Split SASS module into finder and a function
chewy-cmake-rep,0,38,24,62,"Fix some bugs

- Recognize `-isystem` option when form ABI checker input XML file.
  Missing it was a result in broken compilier command line.
- Do not check for presence `HAVING_XXX` when detect GNU libc extensions
  and always update the target `GlibC:xxx`."
chewy-cmake-rep,0,0,60,60,remove unused script
chewy-cmake-rep,0,0,2,2,Remove redundant variable
chewy-cmake-rep,0,5,4,9,Fix typo in Doxygen variable names
chewy-cmake-rep,0,89,3212,3301,Improve Doxygen support
chewy-cmake-rep,0,8,3,11,add `SOURCES` to doxygen generator
chewy-cmake-rep,0,3,3,6,update exclude patterns
chewy-cmake-rep,0,14,7,21,"Add doc strings to some vars, fix typo"
chewy-cmake-rep,0,1,1,2,fix `mark_as_advanced()`
chewy-cmake-rep,0,53,34,87,"Mark result of `find_program` as advanced.
Fix typo in ABI checker."
chewy-cmake-rep,0,72,0,72,add module to do install according GNU/FHS standards (as it supported by `GNUInstallDirs.cmake` module)
chewy-cmake-rep,0,34,35,69,fix MIME type according recent docs
chewy-cmake-rep,0,94,56,150,do not fail if no default repo has given... just warn about it
chewy-cmake-rep,0,5,3,8,fix typo in a variable name
chewy-cmake-rep,0,115,30,145,"Properly detect minimal Ubuntu installed in a Docker container, when LSB executable is not installed"
chewy-cmake-rep,0,4,2,6,Apply patch from @ZaychukAleksey
chewy-cmake-rep,0,138,6,144,add module to find glibc extension functions/libraries
chewy-cmake-rep,0,274,121,395,bunch of updates
chewy-cmake-rep,0,678,205,883,a major improvement to store ABI dumps at JFrog Artifactory
chewy-cmake-rep,0,10,356,366,render templated header file(s) if present at test dir
chewy-cmake-rep,0,3,27,30,remove some code in sake of CMake >= 3.6 native support
chewy-cmake-rep,0,25,10,35,fix tests registration
chewy-cmake-rep,0,6,6,12,fix typo
chewy-cmake-rep,0,22,5,27,collect added tests to the global property PROJECT_TEST_EXECUTABLES
chewy-cmake-rep,0,19,3,22,accept list variables for DOXYGEN_INPUT and DOXYGEN_EXCLUDE
chewy-cmake-rep,0,6,1,7,form DISTRIB_FILE_PART from parts if they are defined
Cellule,2,0,1,1,Removed unused index property
Cellule,2,19,9,28,Added timer for mating
Cellule,2,38,14,52,Refactored dead at mating
Cellule,2,95,62,157,Added basic mating
Cellule,2,44,16,60,Added death between different cells and trait checking
Cellule,2,993,0,993,Initial commit
CP-Project,0,4,0,4,Create README.md
CP-Project,0,452,33,485,mise en conformite avec l ennonce de l'ecriture
CP-Project,0,43,41,84,Version finale
CP-Project,0,1,1,2,virage du groupehorraire.co
CP-Project,0,5,36,41,paufinisation
CP-Project,0,269,72,341,"Merge branch 'master' of https://github.com/MayasHaddad/CP-Project

Conflicts:
	CP-Project/Main.co"
CP-Project,0,271,74,345,Projet fini
CP-Project,0,7,5,12,Ajout de l'usage
CP-Project,0,18,12,30,"Merge branch 'master' of https://github.com/MayasHaddad/CP-Project

Conflicts:
	CP-Project/CP-Project.cop
	CP-Project/Main.co
	Reader.co"
CP-Project,0,237,44,281,"commit chez seb, première partie, By mayas"
CP-Project,0,21,10,31,de l'ordre dans les classes et le .cop
CP-Project,0,0,38,38,suppression du reader initial
CP-Project,0,100,0,100,iniialisation des structures
CP-Project,0,31,12,43,Implémentation du rassemblement des etudiants selon les options
CP-Project,0,88,8,96,gestion des entrees
CP-Project,0,22,6,28,implem reader
CP-Project,0,17,0,17,Ajout de la classe qui lit le fichier
CP-Project,0,1,1,2,modif
CP-Project,0,1,0,1,sdf
dancingball,1,12,5,17,added avalon bus for the video raster
dancingball,1,370,108,478,Circle of radius 30 is drawn
dancingball,1,11853,0,11853,base code rectangular
TCL-Eggdrop,17,269,0,269,"Antiproxy DNSBL

Untuk anti spam dengan IP Blacklist dari DNSBL provider"
